"Regime";"Media_log1p";"Media_IPCA_aproximada";"Desvio_padrao_log1p";"Probabilidade_de_permanencia";"Duracao_esperada_em_meses"
"Baixa";0,409757158283595;0,506451911322114;0,304808208513619;0,997406816461655;385,626387493701
"Moderada";2,19249256428868;7,95751248758518;0,296518879192479;0,925755064076133;13,4689320902025
"Alta";3,29155161046549;25,8845456528197;0,390916960322149;0,930931595623117;14,4784002037073
