"Regime";"Centro_estimado_IPCA";"Probabilidade_de_permanencia";"Duracao_esperada_em_meses"
"Baixa";1,50224175824176;0,977973568281938;45,4000000000001
"Moderada";18,3888888888889;0,851851851851852;6,75
"Alta";45,348;0,85;6,66666666666667
