"Origem";"Destino";"Probabilidade";"Erro_padrao";"IC_inferior";"IC_superior"
"Baixa";"Baixa";0,702702702702703;0,0336043445000968;0,636839397758436;0,768566007646969
"Baixa";"Moderada";0,297297297297297;0,0336043445000968;0,231433992353031;0,363160602241564
"Baixa";"Alta";0;0;0;0
"Moderada";"Baixa";0,297297297297297;0,0336043445000968;0,231433992353031;0,363160602241564
"Moderada";"Moderada";0,675675675675676;0,0344170021603791;0,608219590985495;0,743131760365856
"Moderada";"Alta";0,027027027027027;0,0119223992771969;0,00365955383441477;0,0503945002196393
"Alta";"Baixa";0;0;0;0
"Alta";"Moderada";0,0324324324324324;0,0130240048141775;0,00690585206216819;0,0579590128026967
"Alta";"Alta";0,967567567567568;0,0130240048141775;0,942040987197303;0,993094147937832
