"data";"ipca_mensal";"selic_meta";"regime";"periodo_plano_real";"regime_tercis_periodo";"regime_kmeans";"ipca_log1p";"regime_kmeans_log1p";"regime_hmm";"prob_hmm_Baixa";"prob_hmm_Moderada";"prob_hmm_Alta";"regime_hmm_log1p";"prob_hmm_log1p_Baixa";"prob_hmm_log1p_Moderada";"prob_hmm_log1p_Alta"
1982-01-01;6,97;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,07568449280212;"Moderada";"Moderada";1,06523421993321e-36;0,999852129603344;0,000147870396655785;"Moderada";2,18916451462959e-11;0,999971942180125;2,80577979837281e-05
1982-02-01;6,64;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,03339760317843;"Moderada";"Moderada";1,89331379318249e-33;0,999856112519656;0,00014388748034424;"Moderada";4,94557845588336e-11;0,999978684704953;2,13152455912088e-05
1982-03-01;5,71;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,90359895098359;"Moderada";"Moderada";3,49229421830859e-25;0,999861698541238;0,00013830145876206;"Moderada";6,07548388034404e-10;0,999990366605907;9,63278654449008e-06
1982-04-01;5,89;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,93007108502557;"Moderada";"Moderada";1,11197146983633e-26;0,999861404934483;0,000138595065517449;"Moderada";3,63955247034516e-10;0,999988753469952;1,1246166092409e-05
1982-05-01;6,66;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,0360119837525;"Moderada";"Moderada";1,21615190766905e-33;0,999855662231302;0,000144337768698293;"Moderada";4,70237462477536e-11;0,999978299052356;2,17009006205109e-05
1982-06-01;7,1;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,09186406167839;"Moderada";"Moderada";5,03126475973228e-38;0,999849803024203;0,000150196975796835;"Moderada";1,60316165975792e-11;0,999968706238736;3,12937452323413e-05
1982-07-01;6,36;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,99605993274078;"Moderada";"Moderada";8,02616527916286e-31;0,999858476358129;0,000141523641871462;"Moderada";1,01652901227849e-10;0,999983151400529;1,68484978178729e-05
1982-08-01;5,97;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,94161522477243;"Moderada";"Moderada";2,3169109168979e-27;0,999861239420302;0,000138760579697533;"Moderada";2,91133036194265e-10;0,999987978598016;1,20211108508868e-05
1982-09-01;5,08;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,80500469597808;"Moderada";"Moderada";2,47722226204198e-20;0,999859721948782;0,000140278051217723;"Moderada";4,11438625926288e-09;0,999994449846241;5,54603937312022e-06
1982-10-01;4,44;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,69377906086785;"Moderada";"Moderada";5,04306836594846e-16;0,999853647307783;0,00014635269221606;"Moderada";3,58119218680768e-08;0,999996804409616;3,1597784623727e-06
