"Origem";"Baixa";"Moderada";"Alta"
"Baixa";0,588779757423109;0,327102396821396;0,0841178457554952
"Moderada";0,256199820458762;0,495866597378978;0,24793358216226
"Alta";0,135420990221354;0,260417176032029;0,604161833746617
