"data_origem";"data_destino";"origem";"destino_observado";"Baixa";"Moderada";"Alta"
2004-07-01;2004-08-01;"Alta";"Alta";0,1463270817254;0,249184942224275;0,604487976050325
2004-08-01;2004-09-01;"Alta";"Moderada";0,178657215581707;0,320343737230093;0,5009990471882
2004-09-01;2004-10-01;"Moderada";"Moderada";0,435288407953451;0,379946751431665;0,184764840614884
2004-10-01;2004-11-01;"Moderada";"Alta";0,271457276768923;0,480860581980077;0,247682141251
2004-11-01;2004-12-01;"Alta";"Alta";0,182525305832218;0,317584853488498;0,499889840679284
2004-12-01;2005-01-01;"Alta";"Moderada";0,15934823112889;0,261137927648753;0,579513841222357
2005-01-01;2005-02-01;"Moderada";"Moderada";0,12744437583289;0,558073368301084;0,314482255866026
2005-02-01;2005-03-01;"Moderada";"Alta";0,119819935703831;0,560519334389694;0,319660729906474
2005-03-01;2005-04-01;"Alta";"Alta";0,205345678722058;0,336003081894972;0,45865123938297
2005-04-01;2005-05-01;"Alta";"Moderada";0,167105157270373;0,252156690166947;0,58073815256268
2005-05-01;2005-06-01;"Moderada";"Baixa";0,206730275230403;0,5109184968569;0,282351227912697
2005-06-01;2005-07-01;"Baixa";"Baixa";0,736137186741905;0,253011158241548;0,0108516550165472
2005-07-01;2005-08-01;"Baixa";"Baixa";0,493882351392432;0,388936467756865;0,117181180850703
2005-08-01;2005-09-01;"Baixa";"Moderada";0,581348612876003;0,358099022167625;0,0605523649563716
2005-09-01;2005-10-01;"Moderada";"Alta";0,39572583834414;0,398136140509271;0,206138021146589
2005-10-01;2005-11-01;"Alta";"Moderada";0,187695121956777;0,288401854413092;0,52390302363013
2005-11-01;2005-12-01;"Moderada";"Moderada";0,149754533868372;0,543234950850517;0,307010515281111
2005-12-01;2006-01-01;"Moderada";"Moderada";0,382551184793894;0,408578069871395;0,208870745334711
2006-01-01;2006-02-01;"Moderada";"Moderada";0,120050151572887;0,561089872976108;0,318859975451006
2006-02-01;2006-03-01;"Moderada";"Moderada";0,310483111114682;0,455198659205307;0,234318229680011
2006-03-01;2006-04-01;"Moderada";"Baixa";0,28298024984478;0,471773682782858;0,245246067372361
2006-04-01;2006-05-01;"Baixa";"Baixa";0,542990955773733;0,370933619609473;0,0860754246167932
2006-05-01;2006-06-01;"Baixa";"Baixa";0,650896080297941;0,315775343291086;0,0333285764109729
2006-06-01;2006-07-01;"Baixa";"Baixa";0,841173806077993;0,157050856059664;0,00177533786234353
2006-07-01;2006-08-01;"Baixa";"Baixa";0,565892329268903;0,360854141911068;0,0732535288200283
2006-08-01;2006-09-01;"Baixa";"Baixa";0,692374496492105;0,286378472703905;0,0212470308039896
2006-09-01;2006-10-01;"Baixa";"Moderada";0,545412379887346;0,367627682444424;0,0869599376682297
2006-10-01;2006-11-01;"Moderada";"Baixa";0,438812297598451;0,380611441011544;0,180576261390005
2006-11-01;2006-12-01;"Baixa";"Moderada";0,423665868371707;0,387056266579684;0,189277865048609
2006-12-01;2007-01-01;"Moderada";"Moderada";0,226917235980978;0,514177164427612;0,25890559959141
2007-01-01;2007-02-01;"Moderada";"Moderada";0,276431369305664;0,484399225766065;0,239169404928271
2007-02-01;2007-03-01;"Moderada";"Moderada";0,276844815712946;0,484686264665187;0,238468919621867
2007-03-01;2007-04-01;"Moderada";"Baixa";0,377739419076128;0,421760158934167;0,200500421989706
2007-04-01;2007-05-01;"Baixa";"Baixa";0,500772583856557;0,378257748782734;0,120969667360709
2007-05-01;2007-06-01;"Baixa";"Baixa";0,463788563720842;0,383556073512982;0,152655362766176
2007-06-01;2007-07-01;"Baixa";"Baixa";0,463788563720842;0,383556073512982;0,152655362766176
2007-07-01;2007-08-01;"Baixa";"Moderada";0,513451361992489;0,374429784231287;0,112118853776224
2007-08-01;2007-09-01;"Moderada";"Baixa";0,24132748668914;0,509568072090859;0,249104441220001
2007-09-01;2007-10-01;"Baixa";"Baixa";0,580501668686252;0,351046488120934;0,0684518431928145
2007-10-01;2007-11-01;"Baixa";"Moderada";0,438878842485018;0,383082304557061;0,178038852957921
2007-11-01;2007-12-01;"Moderada";"Alta";0,365685652182976;0,432659133525447;0,201655214291577
2007-12-01;2008-01-01;"Alta";"Moderada";0,149236018744671;0,319952579364998;0,530811401890331
2008-01-01;2008-02-01;"Moderada";"Moderada";0,167346044681759;0,553566940956689;0,279087014361552
2008-02-01;2008-03-01;"Moderada";"Moderada";0,218385297078408;0,523891809902943;0,257722893018649
2008-03-01;2008-04-01;"Moderada";"Moderada";0,229837971744426;0,517050184590452;0,253111843665122
2008-04-01;2008-05-01;"Moderada";"Alta";0,158362714074152;0,558618001204603;0,283019284721245
2008-05-01;2008-06-01;"Alta";"Alta";0,144919164097428;0,300982472440691;0,554098363461881
2008-06-01;2008-07-01;"Alta";"Moderada";0,151454635212203;0,31826475254702;0,530280612240776
2008-07-01;2008-08-01;"Moderada";"Baixa";0,175520707116831;0,546440587119284;0,278038705763885
2008-08-01;2008-09-01;"Baixa";"Baixa";0,463349187492713;0,38433563521484;0,152315177292447
2008-09-01;2008-10-01;"Baixa";"Moderada";0,488366773134837;0,380957203642498;0,130676023222665
2008-10-01;2008-11-01;"Moderada";"Moderada";0,262645237860211;0,491673201705246;0,245681560434543
2008-11-01;2008-12-01;"Moderada";"Baixa";0,391876371284975;0,411424755272047;0,196698873442978
2008-12-01;2009-01-01;"Baixa";"Moderada";0,462688509989707;0,385505955337492;0,151805534672801
2009-01-01;2009-02-01;"Moderada";"Moderada";0,226186328609299;0,513446558273396;0,260367113117305
2009-02-01;2009-03-01;"Moderada";"Baixa";0,156693710254617;0,55573063934317;0,287575650402213
2009-03-01;2009-04-01;"Baixa";"Moderada";0,557960744699436;0,361468552138996;0,0805707031615684
2009-04-01;2009-05-01;"Moderada";"Moderada";0,229837971744426;0,517050184590452;0,253111843665122
2009-05-01;2009-06-01;"Moderada";"Moderada";0,243211771787519;0,51123552059418;0,245552707618302
2009-06-01;2009-07-01;"Moderada";"Baixa";0,398647908330696;0,413281210730858;0,188070880938445
2009-07-01;2009-08-01;"Baixa";"Baixa";0,516181554945654;0,370305151008753;0,113513294045593
2009-08-01;2009-09-01;"Baixa";"Baixa";0,6135873739476;0,332901322004858;0,0535113040475417
2009-09-01;2009-10-01;"Baixa";"Baixa";0,516675217162649;0,36955704269327;0,113767740144082
2009-10-01;2009-11-01;"Baixa";"Moderada";0,467056174674741;0,37772636770574;0,155217457619519
2009-11-01;2009-12-01;"Moderada";"Moderada";0,325623974184166;0,462975743232366;0,211400282583469
2009-12-01;2010-01-01;"Moderada";"Alta";0,385825041304885;0,424231674972284;0,189943283722831
2010-01-01;2010-02-01;"Alta";"Alta";0,137339741187716;0,32472819710997;0,537932061702314
2010-02-01;2010-03-01;"Alta";"Moderada";0,13374131328729;0,314003874301396;0,552254812411314
2010-03-01;2010-04-01;"Moderada";"Moderada";0,189673477766616;0,546800282594062;0,263526239639322
2010-04-01;2010-05-01;"Moderada";"Moderada";0,144121078587105;0,57290961058947;0,282969310823424
2010-05-01;2010-06-01;"Moderada";"Baixa";0,2961484838256;0,480110677442582;0,223740838731818
2010-06-01;2010-07-01;"Baixa";"Baixa";0,733988980315686;0,252364073599844;0,01364694608447
2010-07-01;2010-08-01;"Baixa";"Baixa";0,72637301667305;0,258686582746108;0,0149404005808415
2010-08-01;2010-09-01;"Baixa";"Moderada";0,704404952008982;0,275891467870752;0,019703580120265
2010-09-01;2010-10-01;"Moderada";"Alta";0,267461375935457;0,495297923485038;0,237240700579504
2010-10-01;2010-11-01;"Alta";"Alta";0,145777526473243;0,318119584714633;0,536102888812123
2010-11-01;2010-12-01;"Alta";"Alta";0,135582966735033;0,290375532778929;0,574041500486038
2010-12-01;2011-01-01;"Alta";"Alta";0,160731867132385;0,36076071078821;0,478507422079406
2011-01-01;2011-02-01;"Alta";"Alta";0,135582966735033;0,290375532778929;0,574041500486038
2011-02-01;2011-03-01;"Alta";"Alta";0,141498332361429;0,299126283700007;0,559375383938564
