"Origem";"Destino";"Probabilidade_MLE";"Probabilidade_suavizada_simulacao";"IC_boot_inferior";"IC_boot_superior"
"Baixa";"Baixa";0,702702702702703;0,699731903485255;0,631009872480461;0,758317974372477
"Baixa";"Moderada";0,297297297297297;0,297587131367292;0,237494703389831;0,367474309000709
"Baixa";"Alta";0;0,00268096514745308;0;0,0134297140755723
"Moderada";"Baixa";0,297297297297297;0,297587131367292;0,232383476114418;0,368139403000464
"Moderada";"Moderada";0,675675675675676;0,672922252010724;0,594384328358209;0,733645446860471
"Moderada";"Alta";0,027027027027027;0,0294906166219839;0,00900900900900901;0,0640129032258064
"Alta";"Baixa";0;0,00268096514745308;0;0,016397971198261
"Alta";"Moderada";0,0324324324324324;0,0348525469168901;0,014923525934683;0,0794217687074829
"Alta";"Alta";0,967567567567568;0,962466487935657;0,914617755048518;0,981952291528387
